Negeri,16 Mac 2020,17 Mac 2020,18 Mac 2020,19 Mac 2020,20 Mac 2020,21 Mac 2020,22 Mac 2020,23 Mac 2020,24 Mac 2020,25 Mac 2020,26 Mac 2020,27 Mac 2020,28 Mac 2020,29 Mac 2020,30 Mac 2020,31 Mac 2020,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01 Mei 2020,02 Mei 2020,03 Mei 2020,04 Mei 2020,05 Mei 2020,06 Mei 2020,07 Mei 2020,08 Mei 2020,09 Mei 2020,10 Mei 2020,11 Mei 2020,12 Mei 2020,13 Mei 2020,14 Mei 2020,15 Mei 2020,16 Mei 2020,17 Mei 2020,18 Mei 2020,19 Mei 2020,20 Mei 2020,21 Mei 2020,22 Mei 2020,23 Mei 2020,24 Mei 2020,25 Mei 2020,26 Mei 2020,27 Mei 2020,28 Mei 2020,29 Mei 2020,30 Mei 2020,31 Mei 2020,1-Jun-20,2-Jun-20,3-Jun-20,4-Jun-20,5-Jun-20,6-Jun-20,7-Jun-20,8-Jun-20,9-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20,19-Jun-20,20-Jun-20,21-Jun-20,22-Jun-20,23-Jun-20,24-Jun-20,25-Jun-20,26-Jun-20,27-Jun-20,28-Jun-20,29-Jun-20,30-Jun-20,01 Julai 2020,02 Julai 2020,03 Julai 2020,04 Julai 2020,05 Julai 2020,06 Julai 2020,07 Julai 2020,08 Julai 2020,09 Julai 2020,10 Julai 2020,11 Julai 2020,12 Julai 2020,13 Julai 2020,14 Julai 2020,15 Julai 2020,16 Julai 2020,17 Julai 2020,18 Julai 2020,19 Julai 2020,20 Julai 2020,21 Julai 2020,22 Julai 2020,23 Julai 2020,24 Julai 2020,25 Julai 2020,26 Julai 2020,27 Julai 2020
Perlis,8.00,8.00,8.00,9.00,9.00,9.00,9.00,9.00,9.00,10.00,10.00,10.00,10.00,10.00,11.00,12.00,12.00,12.00,12.00,12.00,13.00,13.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00
Kedah,31.00,31.00,36.00,40.00,41.00,47.00,52.00,59.00,64.00,69.00,72.00,73.00,74.00,75.00,77.00,77.00,79.00,80.00,81.00,81.00,82.00,85.00,90.00,91.00,93.00,93.00,93.00,93.00,93.00,93.00,94.00,94.00,94.00,94.00,94.00,94.00,94.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,95.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,97.00,98.00,98.00,98.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
P. Pinang,15.00,23.00,30.00,32.00,37.00,50.00,58.00,66.00,68.00,70.00,74.00,80.00,86.00,87.00,88.00,94.00,96.00,98.00,98.00,99.00,101.00,101.00,102.00,108.00,108.00,109.00,114.00,116.00,116.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00,121.00
Perak,18.00,23.00,28.00,35.00,45.00,55.00,66.00,81.00,98.00,128.00,151.00,159.00,165.00,176.00,184.00,189.00,194.00,200.00,205.00,207.00,213.00,219.00,233.00,237.00,241.00,242.00,243.00,244.00,247.00,250.00,250.00,251.00,252.00,252.00,252.00,252.00,252.00,252.00,252.00,252.00,252.00,252.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,253.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,257.00,257.00,257.00,257.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,260.00,260.00,260.00,261.00,261.00,262.00,262.00,262.00,262.00
Selangor,144.00,161.00,192.00,223.00,263.00,292.00,309.00,354.00,381.00,435.00,510.00,546.00,579.00,612.00,672.00,704.00,726.00,800.00,863.00,890.00,943.00,970.00,1020.00,1078.00,1118.00,1148.00,1183.00,1236.00,1249.00,1299.00,1316.00,1329.00,1338.00,1340.00,1350.00,1352.00,1363.00,1364.00,1376.00,1394.00,1395.00,1394.00,1398.00,1403.00,1404.00,1431.00,1455.00,1518.00,1529.00,1550.00,1555.00,1564.00,1580.00,1586.00,1596.00,1604.00,1607.00,1610.00,1612.00,1613.00,1627.00,1628.00,1636.00,1644.00,1650.00,1665.00,1673.00,1693.00,1730.00,1776.00,1829.00,1838.00,1843.00,1845.00,1873.00,1878.00,1909.00,1920.00,1926.00,1928.00,1930.00,1939.00,1953.00,1965.00,1968.00,1971.00,1971.00,1974.00,1987.00,1994.00,1996.00,1998.00,1999.00,2004.00,2006.00,2009.00,2021.00,2025.00,2027.00,2027.00,2032.00,2034.00,2036.00,2039.00,2044.00,2046.00,2047.00,2048.00,2048.00,2051.00,2058.00,2060.00,2062.00,2065.00,2066.00,2070.00,2076.00,2079.00,2088.00,2092.00,2093.00,2094.00,2094.00,2098.00,2099.00,2103.00,2107.00,2109.00,2112.00,2112.00,2115.00,2118.00,2118.00,2119.00
N. Sembilan,42.00,45.00,45.00,56.00,65.00,70.00,78.00,94.00,109.00,123.00,132.00,138.00,153.00,162.00,172.00,181.00,189.00,207.00,211.00,220.00,231.00,239.00,261.00,270.00,281.00,292.00,309.00,318.00,360.00,362.00,363.00,389.00,402.00,405.00,405.00,408.00,409.00,411.00,431.00,433.00,433.00,434.00,435.00,436.00,508.00,513.00,513.00,521.00,592.00,598.00,598.00,600.00,600.00,653.00,681.00,726.00,742.00,742.00,764.00,775.00,776.00,776.00,776.00,776.00,776.00,776.00,778.00,791.00,792.00,792.00,792.00,793.00,793.00,793.00,852.00,856.00,858.00,860.00,866.00,902.00,905.00,905.00,910.00,911.00,911.00,911.00,911.00,927.00,931.00,957.00,957.00,989.00,993.00,994.00,994.00,995.00,996.00,1002.00,1014.00,1015.00,1015.00,1015.00,1015.00,1016.00,1025.00,1025.00,1025.00,1025.00,1025.00,1025.00,1026.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1028.00,1028.00,1028.00,1028.00,1028.00,1028.00,1028.00,1028.00
Melaka,14.00,17.00,18.00,20.00,22.00,22.00,23.00,25.00,31.00,33.00,33.00,33.00,42.00,43.00,50.00,52.00,63.00,70.00,73.00,75.00,89.00,99.00,103.00,116.00,119.00,133.00,141.00,144.00,144.00,147.00,147.00,147.00,148.00,148.00,185.00,187.00,188.00,189.00,189.00,192.00,192.00,193.00,193.00,193.00,193.00,198.00,199.00,201.00,204.00,207.00,207.00,208.00,209.00,209.00,210.00,210.00,211.00,211.00,213.00,214.00,215.00,215.00,215.00,215.00,215.00,215.00,215.00,216.00,216.00,216.00,216.00,216.00,216.00,216.00,216.00,218.00,219.00,232.00,233.00,233.00,233.00,234.00,234.00,234.00,235.00,235.00,235.00,246.00,250.00,252.00,253.00,255.00,255.00,255.00,255.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00,258.00
Johor,52.00,77.00,88.00,101.00,114.00,129.00,145.00,158.00,162.00,196.00,239.00,259.00,285.00,309.00,333.00,349.00,368.00,395.00,416.00,422.00,438.00,468.00,478.00,496.00,503.00,523.00,544.00,558.00,579.00,587.00,601.00,614.00,623.00,639.00,642.00,644.00,645.00,648.00,651.00,655.00,655.00,659.00,659.00,660.00,660.00,663.00,666.00,667.00,667.00,667.00,667.00,667.00,667.00,667.00,667.00,667.00,667.00,667.00,667.00,668.00,668.00,668.00,668.00,668.00,669.00,669.00,669.00,669.00,670.00,671.00,671.00,671.00,671.00,671.00,674.00,675.00,675.00,675.00,676.00,676.00,676.00,676.00,676.00,676.00,676.00,676.00,677.00,677.00,678.00,680.00,680.00,683.00,684.00,684.00,686.00,686.00,686.00,687.00,688.00,688.00,688.00,689.00,691.00,691.00,691.00,691.00,691.00,691.00,692.00,692.00,692.00,692.00,693.00,694.00,694.00,696.00,697.00,699.00,699.00,699.00,701.00,701.00,701.00,701.00,701.00,702.00,716.00,716.00,717.00,718.00,720.00,730.00,737.00,737.00
Pahang,19.00,28.00,29.00,32.00,36.00,37.00,40.00,56.00,56.00,64.00,66.00,70.00,84.00,96.00,99.00,102.00,111.00,114.00,127.00,151.00,158.00,161.00,166.00,169.00,183.00,187.00,214.00,225.00,225.00,236.00,253.00,261.00,262.00,264.00,269.00,271.00,279.00,285.00,286.00,287.00,288.00,288.00,288.00,288.00,293.00,294.00,297.00,305.00,305.00,305.00,305.00,305.00,305.00,306.00,306.00,308.00,312.00,312.00,315.00,323.00,328.00,335.00,336.00,336.00,338.00,338.00,339.00,341.00,344.00,344.00,344.00,344.00,344.00,345.00,346.00,346.00,361.00,361.00,361.00,361.00,362.00,363.00,363.00,363.00,363.00,363.00,363.00,363.00,363.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,366.00,369.00,369.00,370.00,370.00
Terengganu,4.00,7.00,10.00,11.00,20.00,27.00,32.00,38.00,38.00,38.00,39.00,41.00,45.00,47.00,47.00,47.00,48.00,50.00,68.00,74.00,84.00,90.00,90.00,93.00,98.00,101.00,102.00,102.00,106.00,106.00,106.00,108.00,108.00,109.00,109.00,109.00,109.00,109.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,112.00,114.00,114.00,114.00,114.00,114.00,114.00,114.00,114.00,114.00,114.00,114.00
